n1,n2,enlaces
1,3,0.6666
1,13,-1
1,16,-1
1,19,-1
1,35,-1
3,22,1
4,22,1
4,46,0.6666
5,3,1
5,19,1
6,24,1
6,28,-1
6,46,0.6666
6,52,-0.6666
6,55,-1
6,59,-1
7,3,0.6666
7,19,1
9,19,0.6666
21,1,0.6666
21,19,0.6666
22,19,1
24,19,-0.6666
28,3,-0.6666
31,1,-0.6666
31,35,1
31,37,-1
34,10,1
35,4,1
35,34,1
37,35,-1
42,46,0.6666
42,48,1
44,46,0.6666
44,62,-0.6666
61,3,0.6666
63,13,0.6666
