n1,n2,enlaces
58,3,-0.33333
57,3,1
35,3,1
12,3,1
39,3,-0.6666
28,3,-1
3,19,1
63,19,1
63,50,1
50,3,1
50,27,1
27,19,1
27,3,-0.6666
30,22,0.6666
22,19,1
17,19,-1
45,19,-0.3333
44,46,1
19,46,0.6666
16,19,-0.3333
16,24,-1
55,36,1
55,16,1
20,46,1
