n1,n2,enlaces
40,19,-0.6666
44,19,-0.6666
66,21,-1
65,21,-1
8,24,-1
21,45,1
43,64,0.6666
27,19,0.6666
6,24,-1
24,19,-1
22,19,1
34,19,1
45,19,1
32,34,1
9,34,1
64,32,1
64,1,-1
64,33,1
33,67,1
33,13,1
33,37,-1
1,49,1
37,35,-1
49,35,-0.6666
49,25,0.6666
67,25,-1
67,65,-1
41,35,0.6666
41,10,-0.3333
65,6,-0.6666
65,57,-0.6666
65,2,-0.6666
75,25,1
12,3,1
35,3,1
35,10,1
3,22,1
10,34,1
38,34,-1
57,28,-1
2,28,-1
6,28,1
