n1,n2,enlaces
67,55,-1
65,55,1
55,59,1
4,55,1
61,3,1
17,3,1
24,3,-1
8,24,-1
6,24,-0.6666
30,8,0.3333
62,57,1
57,28,-1
2,28,-1
28,3,-1
3,19,1
4,19,1
5,19,1
11,5,1
9,34,1
34,19,1
23,19,-1
16,23,0.6666
27,11,1
6,27,-1
41,5,-1
41,27,-1
75,1,1
75,35,-1
53,35,-1
