n1,n2,enlaces
66,55,1
1,55,-1
6,55,-1
67,55,0.6666
55,36,1
55,34,0.6666
34,12,1
12,19,1
19,34,0.3333
53,37,-1
37,34,-0.6666
17,12,0.3333
67,46,0.6666
