n1,n2,enlaces
2,24,-1
24,19,-1
38,19,-1
22,19,1
5,19,1
1,19,1
43,19,-1
11,5,1
55,11,1
6,55,-1
6,16,-1
6,24,1
38,55,-1
1,55,-1
