n1,n2,enlaces
9,19,1
23,19,-1
58,19,0.6666
22,19,1
56,19,1
24,19,-1
55,22,0.6666
51,22,0.6666
58,23,0.6666
6,24,-0.6666
2,28,-1
2,24,-1
28,3,-0.6666
1,3,1
3,19,1
18,1,1
41,27,-0.6666
27,11,-1
41,59,-1
41,60,-1
41,35,0.6666
11,41,1
43,59,-1
41,3,-1
35,3,1
3,22,1
8,19,0.6666
35,4,-1
