n1,n2,enlace
37,25,0.6666
37,41,1
41,35,1
38,35,-1
35,34,-1
7,25,-0.6666
1,25,1
1,33,-0.6666
1,55,-0.3333
33,35,1
43,55,1
55,30,0.6666
55,16,0.6666
55,32,1
55,56,-1
1,22,1
27,22,0.6666
17,22,1
3,22,1
48,45,1
45,19,1
5,19,0.6666
10,14,1
41,3,-1
25,3,-1
41,10,-1
22,19,1
34,19,1
56,2,19
19,46,1
16,46,0.6666
30,46,0.3333
16,19,0.3333
4,56,-1
8,24,1
24,19,0.6666
62,19,0.6666
