n1,n2,enlaces
5,19,1
24,19,-1
3,19,1
28,19,0.3333
34,19,1
39,19,1
10,19,1
9,19,0.6666
19,46,1
46,8,1
8,19,1
2,3,1
57,3,1
6,24,-0.3333
42,6,-0.3333
6,25,1
42,1,-0.3333
1,29,-1
29,47,1
1,49,1
49,25,1
27,5,1
22,19,1
55,22,0.3333
55,27,0.6666
55,33,1
55,56,-0.3333
41,4,-1
41,35,1
41,55,-1
35,34,1
50,10,1
50,30,1
30,22,0.3333
33,3,1
47,46,1
58,8,-0.6666
