n1,n2,enlaces
41,35,1
41,5,-1
35,10,1
10,34,1
38,34,-1
4,22,0.6666
34,22,1
34,3,1
51,22,0.6666
22,19,1
5,19,0.6666
56,19,1
3,19,1
19,46,0.6666
7,19,0.6666
19,16,-0.3333
19,30,-0.3333
55,30,0.6666
55,16,1
35,55,0.6666
24,3,-0.6666
1,3,0.6666
13,3,0.6666
66,13,0.6666
1,31,-1
57,31,-1
2,31,-1
6,31,-1
42,31,1
47,6,-0.6666
55,47,0.6666
6,24,-1
2,24,-0.6666
57,24,-0.6666
8,24,-0.6666
24,19,-1
11,5,0.6666
18,5,0.6666
