n1,n2,enlaces
1,35,-1
35,10,1
10,34,0.6666
17,3,0.6666
34,19,1
3,19,1
5,19,1
64,65,1
65,77,-1
77,60,-1
27,19,0.6666
27,46,0.6666
47,46,0.6666
55,27,1
19,60,1
45,19,1
13,3,1
64,13,1
42,64,1
