n1,n2,enlaces
11,5,1
5,19,1
34,19,1
7,19,1
3,19,1
1,3,0.666
6,3,0.666
24,23,1
23,19,-1
16,23,1
67,31,1
67,55,1
55,36,1
55,37,-1
72,37,1
25,37,0.6666
37,38,0.6666
54,37,0.6666
