n1,n2,enlaces
39,10,1
10,34,1
34,19,1
23,19,0.3333
34,3,1
61,22,0.6666
22,19,1
3,19,1
24,19,-1
24,3,-0.3333
12,3,1
21,3,1
66,21,1
6,24,-0.6666
6,28,-0.6666
28,3,-1
57,23,-1
2,28,-1
42,32,1
