"EdgeBetweenness","interaction","name","peso","repeticiones","repeticiones_idx","selected","shared interaction","shared name"
"137.69999999999996","-","conservación de la biodiversidad (-) cambio climático","-1.0","1","87","false","-","conservación de la biodiversidad (-) cambio climático"
"104.23333333333329","-","conservación de la biodiversidad (-) lluvia","1.0","1","86","false","-","conservación de la biodiversidad (-) lluvia"
"256.0333333333333","-","conservación de la biodiversidad (-) desmonte","-1.0","1","85","false","-","conservación de la biodiversidad (-) desmonte"
"139.5555555555555","-","selva (-) lluvia","1.0","1","126","false","-","selva (-) lluvia"
"337.13333333333327","-","selva (-) conservación de la biodiversidad","1.0","2","63","false","-","selva (-) conservación de la biodiversidad"
"204.58888888888893","-","selva (-) plagas","1.0","1","125","false","-","selva (-) plagas"
"173.55555555555566","-","selva (-) agua","1.0","2","62","false","-","selva (-) agua"
"352.3555555555556","-","selva (-) cambio climático","-1.0","1","124","false","-","selva (-) cambio climático"
"684.0","-","selva (-) infiltración","1.0","1","123","false","-","selva (-) infiltración"
"146.25714285714287","-","selva (-) fauna","1.0","9","8","false","-","selva (-) fauna"
"284.38095238095235","-","selva (-) diversidad de plantas","1.0","2","61","false","-","selva (-) diversidad de plantas"
"173.77936507936508","-","selva (-) conservación del suelo","1.0","1","122","false","-","selva (-) conservación del suelo"
"875.6388888888889","-","selva (-) árboles","1.0","3","36","false","-","selva (-) árboles"
"47.5","-","selva (-) alimento para ganado","1.0","3","35","false","-","selva (-) alimento para ganado"
"141.8333333333333","-","arbustos y malezas (-) pastos","-1.0","6","17","false","-","arbustos y malezas (-) pastos"
"816.6666666666671","-","arbustos y malezas (-) ganado","1.0","1","106","false","-","arbustos y malezas (-) ganado"
"605.5666666666664","-","erosión (-) cambio climático","1.0","1","96","false","-","erosión (-) cambio climático"
"414.39999999999975","-","erosión (-) pastos","-1.0","1","95","false","-","erosión (-) pastos"
"210.88333333333335","-","plagas (-) enfermedades del ganado","1.0","1","81","false","-","plagas (-) enfermedades del ganado"
"206.38888888888894","-","plagas (-) pastos","-1.0","4","24","false","-","plagas (-) pastos"
"707.0000000000002","-","plagas (-) ganado","-0.8888888888888888","18","1","false","-","plagas (-) ganado"
"86.13333333333328","-","quemas (-) árboles","-1.0","1","79","false","-","quemas (-) árboles"
"152.43333333333328","-","quemas (-) conservación de la biodiversidad","-1.0","2","39","false","-","quemas (-) conservación de la biodiversidad"
"267.46666666666675","-","quemas (-) selva","-1.0","7","12","false","-","quemas (-) selva"
"40.80000000000001","-","quemas (-) arbustos y malezas","-0.3333333333333333","3","28","false","-","quemas (-) arbustos y malezas"
"57.80000000000003","-","quemas (-) erosión","1.0","1","78","false","-","quemas (-) erosión"
"52.13333333333329","-","quemas (-) pastos","0.14285714285714285","7","11","false","-","quemas (-) pastos"
"57.80000000000003","-","quemas (-) plagas","-0.6","10","5","false","-","quemas (-) plagas"
"57.80000000000003","-","quemas (-) fauna","-1.0","2","38","false","-","quemas (-) fauna"
"111.63333333333328","-","quemas (-) conservación del suelo","-1.0","1","77","false","-","quemas (-) conservación del suelo"
"388.6428571428572","-","lluvia (-) ganado","1.0","1","100","false","-","lluvia (-) ganado"
"73.16666666666664","-","lluvia (-) alimento para ganado","1.0","1","99","false","-","lluvia (-) alimento para ganado"
"646.7095238095238","-","lluvia (-) selva","1.0","1","98","false","-","lluvia (-) selva"
"190.33333333333326","-","lluvia (-) bebederos y represas","1.0","3","31","false","-","lluvia (-) bebederos y represas"
"135.16666666666669","-","lluvia (-) agua","0.6","5","21","false","-","lluvia (-) agua"
"38.38888888888889","-","lluvia (-) pastos","1.0","7","13","false","-","lluvia (-) pastos"
"127.33333333333333","-","lluvia (-) erosión","1.0","1","97","false","-","lluvia (-) erosión"
"329.9761904761904","-","cambio climático (-) agua","-1.0","1","103","false","-","cambio climático (-) agua"
"552.1523809523812","-","cambio climático (-) sequía","1.0","2","51","false","-","cambio climático (-) sequía"
